54.683 25.317 543071
54.9   23.9 336817
55.717 21.117 177823
54.95  25.067 120934
55.733 24.35 109034
54.4   24.05 63651
54.517 25.317 44910
55.4   24.7 38840
55.083 24.283 33178
55.5   25.6 31142
55.283 23.967 29850
55.983 22.25 29119
55.6   26.417 26805
55.25  22.283 26444
55.25  24.75 25886
55.917 21.85 22311
55.883 21.25 20776
55.35  21.483 19751
55.483 24.15 18453
55.917 21.05 17244
55.717 21.4 16314
54.017 23.967 15547
54.411 24.018 14960
55.967 25.583 14947
56.2   24.75 13780
54.767 24.633 13248
54.817 23.867 12938
56     22.933 12721
55.067 22.767 12510
54.65  23.033 12483
55.367 23.117 11644
55.533 25.1 11400
54.65  25.05 11277
54.683 25.083 11121
56.317 22.9 10733
54.633 23.95 10489
54.395 23.997 10489
55.067 25.65 10312
55.633 22.933 9984
54.217 24.567 9771
54.867 24.45 9395
56.067 24.4 7997
55.833 24.967 7833
55.733 26.25 7349
56.267 21.533 6920
55.233 25.417 6771
54.45  23.294 6658
55.05  24.95 6654
54.3   25.383 6402
54.893 23.917 6330
